gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse,ENTREZID,product,ensembl_gene_id,external_synonym,chromosome_name,gene_biotype,phenotype_description,hsapiens_homolog_associated_gene_name,expression_log
Pex6,GSM2545347,1459,Mus musculus,8,Male,InfluenzaA,C57BL/6,8,Cerebellum,24,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.285506548522785
Aim2,GSM2545347,247,Mus musculus,8,Male,InfluenzaA,C57BL/6,8,Cerebellum,24,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,5.5093883366279774
Ednrb,GSM2545347,4253,Mus musculus,8,Male,InfluenzaA,C57BL/6,8,Cerebellum,24,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.355379895253634
Nuf2,GSM2545347,109,Mus musculus,8,Male,InfluenzaA,C57BL/6,8,Cerebellum,24,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,4.6913478822291435
Mog,GSM2545347,1993,Mus musculus,8,Male,InfluenzaA,C57BL/6,8,Cerebellum,24,17441,myelin oligodendrocyte glycoprotein,ENSMUSG00000076439,B230317G11Rik,17,protein_coding,abnormal T-helper 1 physiology,MOG,7.597396320212795
Ccl27a,GSM2545347,1363,Mus musculus,8,Male,InfluenzaA,C57BL/6,8,Cerebellum,24,20301,"chemokine (C-C motif) ligand 27A, transcript variant 1",ENSMUSG00000073888,ALP,4,protein_coding,decreased circulating bilirubin level,CCL27,7.217443431696533
Tac4,GSM2545347,39,Mus musculus,8,Male,InfluenzaA,C57BL/6,8,Cerebellum,24,93670,tachykinin 4,ENSMUSG00000020872,hemokinin I (HK-1),11,protein_coding,increased pro-B cell number,TAC4,3.6635616461296463
Snhg8,GSM2545347,459,Mus musculus,8,Male,InfluenzaA,C57BL/6,8,Cerebellum,24,69895,small nucleolar RNA host gene 8,ENSMUSG00000104960,1110065M07Rik,3,lncRNA,NA,NA,6.129050210060545
Ak6,GSM2545347,224,Mus musculus,8,Male,InfluenzaA,C57BL/6,8,Cerebellum,24,102216272,adenylate kinase 6,ENSMUSG00000078941,2810046E22Rik,13,protein_coding,NA,TAF9,5.4116460518550396
Kctd20,GSM2545347,2351,Mus musculus,8,Male,InfluenzaA,C57BL/6,8,Cerebellum,24,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1",ENSMUSG00000005936,2410004N11Rik,17,protein_coding,NA,KCTD20,7.762596048540069
Pex6,GSM2545348,1830,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,8,224824,peroxisomal biogenesis factor 6,ENSMUSG00000002763,D130055I09Rik,17,protein_coding,abnormal iris morphology,PEX6,7.512071245835466
Aim2,GSM2545348,121,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,8,383619,"absent in melanoma 2, transcript variant X2",ENSMUSG00000037860,Ifi210,1,protein_coding,abnormal cytokine secretion,AIM2,4.795790545596741
Ednrb,GSM2545348,6952,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,8,13618,"endothelin receptor type B, transcript variant 2",ENSMUSG00000022122,ETb,14,protein_coding,abnormal Deiters cell morphology,EDNRB,8.846784666945227
Nuf2,GSM2545348,209,Mus musculus,8,Female,NonInfected,C57BL/6,0,Cerebellum,8,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",ENSMUSG00000026683,2410003C07Rik,1,protein_coding,NA,NUF2,5.342334251964811
